order_date,product_id,quantity,customer_id,product_name,unit_price,month,year,TotalRevenue,Weekday,Quarter,IsWeekend,First_Order_Date,Customer_Type,Sales_Category,Monthly_Sales_Growth
1996-07-04,11,12,VINET,Queso Cabrales,14.0,7,1996,168.0,3,3,weekday,1996-07-04,New Customer,Low,0.0
1996-07-04,42,10,VINET,Singaporean Hokkien Fried Mee,9.8,7,1996,98.0,3,3,weekday,1996-07-04,New Customer,Low,0.0
1996-07-04,72,5,VINET,Mozzarella di Giovanni,34.8,7,1996,174.0,3,3,weekday,1996-07-04,New Customer,Low,0.0
1996-07-05,14,9,TOMSP,Tofu,18.6,7,1996,167.4,4,3,weekday,1996-07-05,New Customer,Low,0.0
1996-07-05,51,40,TOMSP,Manjimup Dried Apples,42.4,7,1996,1696.0,4,3,weekday,1996-07-05,New Customer,High,0.0
1996-07-08,41,10,HANAR,Jack's New England Clam Chowder,7.7,7,1996,77.0,0,3,weekday,1996-07-08,New Customer,Low,0.0
1996-07-08,51,35,HANAR,Manjimup Dried Apples,42.4,7,1996,1484.0,0,3,weekday,1996-07-08,New Customer,High,-0.125
1996-07-08,65,15,HANAR,Louisiana Fiery Hot Pepper Sauce,16.8,7,1996,252.0,0,3,weekday,1996-07-08,New Customer,Low,0.0
1996-07-08,22,6,VICTE,Gustaf's Knäckebröd,16.8,7,1996,100.80000000000001,0,3,weekday,1996-07-08,New Customer,Low,0.0
1996-07-08,57,15,VICTE,Ravioli Angelo,15.6,7,1996,234.0,0,3,weekday,1996-07-08,New Customer,Low,0.0
1996-07-08,65,20,VICTE,Louisiana Fiery Hot Pepper Sauce,16.8,7,1996,336.0,0,3,weekday,1996-07-08,New Customer,Low,0.33333333333333326
1996-07-09,20,40,SUPRD,Sir Rodney's Marmalade,64.8,7,1996,2592.0,1,3,weekday,1996-07-09,New Customer,High,0.0
1996-07-09,33,25,SUPRD,Geitost,2.0,7,1996,50.0,1,3,weekday,1996-07-09,New Customer,High,0.0
1996-07-09,60,40,SUPRD,Camembert Pierrot,27.2,7,1996,1088.0,1,3,weekday,1996-07-09,New Customer,High,0.0
1996-07-10,31,20,HANAR,Gorgonzola Telino,10.0,7,1996,200.0,2,3,weekday,1996-07-08,Returning Customer,Low,0.0
1996-07-10,39,42,HANAR,Chartreuse verte,14.4,7,1996,604.8000000000001,2,3,weekday,1996-07-08,Returning Customer,High,0.0
1996-07-10,49,40,HANAR,Maxilaku,16.0,7,1996,640.0,2,3,weekday,1996-07-08,Returning Customer,High,0.0
1996-07-11,24,15,CHOPS,Guaraná Fantástica,3.6,7,1996,54.0,3,3,weekday,1996-07-11,New Customer,Low,0.0
1996-07-11,55,21,CHOPS,Pâté chinois,19.2,7,1996,403.2,3,3,weekday,1996-07-11,New Customer,Low,0.0
1996-07-11,74,21,CHOPS,Longlife Tofu,8.0,7,1996,168.0,3,3,weekday,1996-07-11,New Customer,Low,0.0
1996-07-12,2,20,RICSU,Chang,15.2,7,1996,304.0,4,3,weekday,1996-07-12,New Customer,Low,0.0
1996-07-12,16,35,RICSU,Pavlova,13.9,7,1996,486.5,4,3,weekday,1996-07-12,New Customer,High,0.0
1996-07-12,36,25,RICSU,Inlagd Sill,15.2,7,1996,380.0,4,3,weekday,1996-07-12,New Customer,High,0.0
1996-07-12,59,30,RICSU,Raclette Courdavault,44.0,7,1996,1320.0,4,3,weekday,1996-07-12,New Customer,High,0.0
1996-07-15,53,15,WELLI,Perth Pasties,26.2,7,1996,393.0,0,3,weekday,1996-07-15,New Customer,Low,0.0
1996-07-15,77,12,WELLI,Original Frankfurter grüne Soße,10.4,7,1996,124.80000000000001,0,3,weekday,1996-07-15,New Customer,Low,0.0
1996-07-16,27,25,HILAA,Schoggi Schokolade,35.1,7,1996,877.5,1,3,weekday,1996-07-16,New Customer,High,0.0
1996-07-16,39,6,HILAA,Chartreuse verte,14.4,7,1996,86.4,1,3,weekday,1996-07-16,New Customer,Low,-0.8571428571428572
1996-07-16,77,15,HILAA,Original Frankfurter grüne Soße,10.4,7,1996,156.0,1,3,weekday,1996-07-16,New Customer,Low,0.24999999999999978
1996-07-17,2,50,ERNSH,Chang,15.2,7,1996,760.0,2,3,weekday,1996-07-17,New Customer,High,1.5
1996-07-17,5,65,ERNSH,Chef Anton's Gumbo Mix,17.0,7,1996,1105.0,2,3,weekday,1996-07-17,New Customer,High,0.0
1996-07-17,32,6,ERNSH,Mascarpone Fabioli,25.6,7,1996,153.60000000000002,2,3,weekday,1996-07-17,New Customer,Low,0.0
1996-07-18,21,10,CENTC,Sir Rodney's Scones,8.0,7,1996,80.0,3,3,weekday,1996-07-18,New Customer,Low,0.0
